rank,song,artist,year,nationality,country
26,Heat Wave,Martha &amp; the Vandellas,1963, United States,US
27,Denise,Randy &amp; the Rainbows,1963, United States,US
28,Walk Right In,The Rooftop Singers,1963,United States,US
29,If You Wanna Be Happy,Jimmy Soul,1963, United States,US
30,If I Had a Hammer,Trini Lopez,1963, United States,US
31,Easier Said Than Done,The Essex,1963, U.S.,US
32,Ruby Baby,Dion,1963, U.S.,US
33,Our Day Will Come,Ruby &amp; the Romantics,1963, U.S.,US
34,Hello Stranger,Barbara Lewis,1963, United States,US
35,Be My Baby,The Ronettes,1963, U.S.,US
36,"""South Street""",The Orlons,1963, United States,US
37,Days of Wine and Roses,Henry Mancini,1963, U.S.,US
38,"""The Monkey Time""",Major Lance,1963, U.S.[1],US
39,Candy Girl,The Four Seasons,1963, United States,US
40,Sugar Shack,Jimmy Gilmer and the Fireballs,1963, U.S.,US
41,Still,Bill Anderson,1963, United States,US
42,Blue on Blue,Bobby Vinton,1963, U.S.,US
43,Cry Baby,Garnet Mimms,1963, United States,US
44,Two Faces Have I,Lou Christie,1963,United States[1],US
45,Busted,Ray Charles,1963, U.S.[1],US
46,Da Doo Ron Ron,The Crystals,1963, United States,US
47,Foolish Little Girl,The Shirelles,1963, US,US
48,Memphis,Lonnie Mack,1963, United States,US
49,In Dreams,Roy Orbison,1963, U.S.,US
50,More,Kai Winding,1963, Denmark,Denmark
51,I Can't Stay Mad at You,Skeeter Davis,1963, U.S.,US
52,Losing You,Brenda Lee,1963, US,US
53,Mean Woman Blues,Roy Orbison,1963, U.S.,US
54,Our Winter Love,Bill Pursell,1963, U.S.,US
55,I Wanna Be Around,Tony Bennett,1963, U.S.,US
56,You've Really Got a Hold on Me,The Miracles,1963, United States,US
57,Sally Go 'Round the Roses,The Jaynetts,1963, U.S.,US
58,(You're the) Devil in Disguise,Elvis Presley,1963, U.S.,US
59,Those Lazy-Hazy-Crazy Days of Summer,Nat King Cole,1963, U.S.,US
60,Baby Workout,Jackie Wilson,1963, U.S.,US
61,Pride and Joy,Marvin Gaye,1963, U.S.,US
62,Deep Purple,Nino Tempo &amp; April Stevens,1963, United States,US
63,From a Jack to a King,Ned Miller,1963, U.S.,US
64,Up on the Roof,The Drifters,1963, U.S.,US
65,"""What Will My Mary Say""",Johnny Mathis,1963, U.S.,US
